Department_or_other_unit,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Department of the Treasury,"45,880","10,806","49,491","56,370","63,622","89,463","91,193","110,329","116,212","140,445","164,826","178,401","180,053","202,112","230,802","257,597","276,501","293,647","298,457","307,256","351,708","363,815","377,894","391,348","386,880","391,649","389,999","371,204","369,139","376,958","411,697","466,551","492,728","751,174","896,975","392,169","494,153","442,633","440,900","442,972","500,984","577,141","672,805","759,402","843,709","920,541"
Department of Veterans Affairs,"19,653","4,524","19,043","19,013","20,471","21,177","23,136","24,948","25,324","26,464","27,288","27,062","27,343","29,414","29,866","30,438","33,129","33,907","35,993","36,804","38,028","38,690","39,877","42,717","44,070","45,462","47,410","51,894","58,964","60,279","68,889","70,937","79,547","88,401","96,929","124,305","122,798","124,030","135,984","165,657","160,151","165,384","179,275","187,347","195,550","203,926"
Corps of Engineers--Civil Works,"2,177",655,"2,479","2,781","2,780","3,247","3,089","2,988","3,406","2,674","2,883","2,722","3,121","3,226","3,215","3,165","3,281","3,667","3,852","3,925","3,344","3,336","4,157","4,145","3,797","4,028","4,619","4,730","4,771","4,554","5,494","11,944","7,046","9,093","16,587","5,665","4,854","6,763","9,716","5,612","5,347","4,628","4,728","4,824","4,874","4,926"
Other Defense Civil Programs,"7,390","1,956","8,273","9,213","10,319","12,020","13,898","15,043","16,218","16,587","17,270","17,519","18,034","19,121","20,354","21,802","23,399","24,795","26,079","27,050","28,072","29,094","30,346","31,321","32,079","32,924","34,339","35,383","39,941","41,846","43,716","44,672","47,187","45,430","57,482","54,786","51,073","81,067","57,553","57,514","58,868","59,613","61,540","64,442","66,165","67,599"
Environmental Protection Agency,772,189,"2,764","5,499","5,403","4,669","3,026","3,674","3,688","4,064","4,346","3,446","5,344","4,968","5,081","5,380","6,004","6,461","6,737","6,436","5,710","6,268","6,478","7,022","7,243","7,313","7,601","7,841","7,925","8,390","7,959","7,583","7,533","7,393","14,754","10,165","8,565","10,785","8,413","9,124","8,025","12,483","8,648","8,829","8,923","9,014"
Executive Office of the President,70,18,79,79,83,102,104,94,102,110,117,109,119,126,131,179,185,202,237,237,184,204,217,246,428,272,"3,826",330,"2,568","18,804",369,341,390,289,374,432,385,384,365,378,846,866,563,522,526,519
General Services Administration,251,41,312,137,333,716,"1,121",623,812,641,738,779,579,244,33,"2,871","1,902",304,537,546,81,77,374,1,233,-304,161,237,"1,348",21,297,722,89,340,"6,290",261,"-1,009",-977,"-1,255","1,932",-482,787,225,231,233,238
International Assistance Programs,"10,907",-736,"5,334","8,737","7,272","12,678","16,514","11,031","6,589","18,945","20,362","10,707","13,002","11,655","10,951","12,408","15,727","13,436","24,658","9,543","14,906","10,178","8,412","7,056","27,437","14,057","11,399","14,438","18,457","15,603","18,249","18,695","51,359","24,008","34,651","28,127","25,564","63,185","10,775","27,987","32,879","16,984","14,489","15,783","17,591","19,118"
National Aeronautics and Space Administration,"3,552",932,"3,876","4,244","4,743","5,350","5,634","6,200","7,065","7,458","7,573","7,807","10,923","9,061","10,969","12,324","14,016","14,317","14,310","14,570","13,854","13,886","13,711","13,637","13,627","13,588","14,254","14,868","15,449","15,342","16,187","16,570","16,275","17,209","18,777","18,719","18,432","17,773","16,868","17,644","17,999","18,514","18,885","19,262","19,455","19,649"
National Science Foundation,717,169,783,868,914,991,"1,031","1,006","1,104","1,323","1,502","1,458","1,623","1,717","1,922","2,084","2,316","2,573","2,734","3,018","3,227","3,219","3,271","3,431","3,702","3,961","4,519","4,884","5,384","5,589","5,565","5,690","6,028","6,197","9,579","6,963","6,910","7,159","6,997","7,296","7,444","7,827","7,974","8,132","8,212","8,293"
