Category,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate
Pollution control facilities,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,1,1,..........,..........,..........,..........,2,19,36,40,44,42,52,66,75,88,99,133,161,176,478,413,684,"1,553","1,938","2,429",920,"3,530","3,187","3,756","4,343","3,881","3,756","2,983","2,619","2,936","3,158","2,961","2,600","2,498","2,533","2,714","2,631","2,358","2,219","2,671","2,368","2,319","2,084","2,180","2,700","2,720","2,538","2,883","2,066","2,021","1,740","1,837","2,484","2,355","5,091","5,050","4,100","3,393","3,179","3,031","3,061"
Other,1,1,1,1,1,1,1,2,3,5,5,6,8,16,21,25,24,29,36,47,46,52,88,78,84,105,121,176,145,189,169,214,230,299,338,360,97,376,410,513,556,616,643,572,666,666,654,606,657,600,734,761,773,816,877,999,929,985,832,922,921,988,974,"1,020","1,426","1,567","1,689","1,646","1,662","1,718","1,638","1,691","1,569","1,679","1,638","1,904","1,976"
Total natural resources and environment,1,1,1,1,1,1,1,2,3,6,6,7,8,16,21,25,26,49,72,88,90,94,140,144,159,193,220,308,306,365,648,627,915,"1,852","2,276","2,788","1,016","3,906","3,597","4,269","4,899","4,498","4,399","3,555","3,285","3,602","3,812","3,567","3,257","3,098","3,267","3,475","3,404","3,174","3,096","3,670","3,297","3,304","2,916","3,102","3,621","3,708","3,512","3,903","3,492","3,588","3,429","3,483","4,146","4,073","6,729","6,741","5,669","5,072","4,817","4,935","5,037"
Other nondefense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Education, training, employment, and social services",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,62,55,134,105,121,89,67,74,66,71,59,42,53,39,50,119,236,297,293,257,222,146,124,74,86,44,29,66,12,27,25,14,37,36,42,59,51,42,55,77,58,25,48,-44,76,40,143,73,38,17,19,24,233,613,441,118,73,54,33,81,46,71,27,12,20,22,10
Health,..........,..........,..........,..........,..........,..........,..........,1,10,9,70,61,60,52,34,24,32,50,69,64,68,72,72,64,69,96,142,200,171,230,221,294,211,256,306,361,64,330,212,132,10,32,11,55,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Veterans,..........,..........,..........,..........,..........,29,384,96,7,3,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Housing assistance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,11,18,24,28,23,19,10,25,25,294,788,"1,408","1,701","2,132","2,929","4,855","5,762","6,007","6,015","6,388","6,368","7,160","7,198","7,720","7,827","7,659","7,687","7,750","7,632","7,629","7,771","12,612","11,143","6,031","4,512","4,314","3,827","3,834"
Other,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,9,13,3,3,5,18,32,38,27,24,38,27,49,50,22,38,60,114,111,89,28,98,80,96,102,128,170,80,193,224,204,136,162,211,213,223,172,140,167,170,141,275,577,266,211,183,121,114,111,218,272,236,243,720,"3,812","8,427","3,931",647,449,535,498
Total other nondefense,..........,..........,..........,..........,..........,29,384,97,17,12,133,116,194,157,155,113,108,137,138,138,132,132,157,141,146,239,416,524,513,537,465,478,395,444,502,494,121,494,305,265,155,198,246,194,254,293,280,203,511,"1,077","1,679","1,949","2,352","3,025","5,097","5,972","6,291","6,363","7,003","6,651","7,390","7,405","8,074","8,554","8,211","8,023","8,095","7,922","7,905","8,572","16,470","19,641","9,989","5,171","4,783","4,384","4,342"
Total nondefense,290,222,218,183,154,142,599,440,462,484,566,575,743,730,810,905,"1,139","1,780","2,948","3,316","3,042","3,223","3,572","4,460","4,966","4,901","5,221","5,885","6,149","7,040","7,858","8,393","8,834","9,806","10,840","13,458","3,927","16,095","18,304","20,582","22,514","22,189","20,477","20,468","22,647","24,838","26,170","23,740","24,779","25,130","27,031","28,127","29,073","31,110","35,258","39,572","40,339","41,485","41,100","43,938","48,655","53,403","58,661","59,843","59,411","60,848","64,114","70,762","72,718","75,212","93,274","96,546","85,212","78,431","78,938","81,994","84,645"
National defense 2 ,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,13,14,10,10,9,8,8,5,11,16,28,22,19,11,10,11,16,16,14,24,31,39,41,60,9,69,24,57,56,33,31,45,46,62,98,109,109,166,154,110,225,60,15,7,16,..........,5,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Total,290,222,218,183,154,142,599,440,462,484,566,575,756,744,820,915,"1,148","1,788","2,956","3,321","3,053","3,239","3,600","4,482","4,985","4,912","5,231","5,896","6,165","7,056","7,872","8,417","8,865","9,845","10,880","13,517","3,936","16,164","18,328","20,639","22,570","22,222","20,508","20,513","22,693","24,901","26,268","23,849","24,888","25,296","27,185","28,237","29,297","31,170","35,274","39,579","40,355","41,485","41,105","43,938","48,655","53,403","58,661","59,843","59,411","60,848","64,114","70,762","72,718","75,212","93,274","96,546","85,212","78,431","78,938","81,994","84,645"
