Function,Subfunction,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
050 National Defense,"Total, National Defense","97,331","23,416","110,150","117,227","126,467","143,859","180,001","216,547","245,043","265,157","294,651","289,144","287,424","292,007","299,563","303,253","288,872","295,066","281,075","263,319","266,386","266,181","270,363","271,036","292,236","304,004","334,705","362,007","455,983","490,526","505,740","556,266","625,823","696,233","697,562","721,188","717,035","681,423","610,157","622,284","596,842","620,919","582,236","593,201","601,343","607,421"
150 International Affairs,151 International development and humanitarian assistance,"3,076",319,"3,550","4,183","5,084","5,264","4,420","4,474","4,711","5,069","6,496","4,759","4,902","5,022","5,295","5,695","6,777","6,654","6,989","7,698","7,660","6,084","5,954","7,174","8,974","6,739","8,124","7,712","15,108","30,495","13,449","14,533","16,269","17,652","25,262","25,222","21,658","22,312","23,625","23,759","25,707","24,534","22,876","23,358","23,613","23,887"
150 International Affairs,152 International security assistance,"3,712",589,"3,954","4,577","5,772","5,066","5,068","6,863","8,142","8,943","13,730","9,543","8,213","8,598","7,666","8,393","9,061","6,682","5,491","4,531","4,626","5,038","5,159","5,372","5,869","7,763","6,659","6,927","10,058","7,680","8,502","9,067","10,581","10,549","11,162","14,095","12,466","14,124","12,598","11,650","12,455","13,248","10,449","10,657","10,772","10,754"
150 International Affairs,153 Conduct of foreign affairs,782,362,"1,054","1,241","1,318","1,343","1,465","1,688","1,830","2,011","2,496","2,988","2,580","2,628","2,773","2,928","3,236","4,048","4,300","4,617","4,060","3,825","3,890","3,842","5,889","5,614","6,411","7,213","7,208","8,437","9,703","9,827","9,537","12,073","14,352","15,820","14,029","16,298","15,118","13,825","14,205","15,787","14,364","14,647","14,791","14,940"
150 International Affairs,154 Foreign information and exchange activities,423,103,400,451,506,518,555,587,688,805,947,969,"1,029","1,054","1,126","1,315","1,242","1,302","1,247","1,494","1,420","1,130","1,117","1,223","1,209",770,898,969,"1,006",999,"1,087","1,261","1,266","1,256","1,431","1,580","1,552","1,546","1,445","1,489","1,510","1,510","1,539","1,570","1,588","1,602"
150 International Affairs,155 International financial programs,"6,063","-1,043",-744,"1,124","-2,298","5,761","15,844","4,612","-4,632","7,718","2,776","-1,607","1,997",-123,390,473,"2,369","2,523","14,275",-647,"7,855",310,"-1,549","-2,897","15,930","1,756","-1,930","2,287","-1,691","-2,476",106,"-1,976","30,727","6,380","11,169","3,878","3,884","39,059","-12,233","6,766","8,797","-8,331","-7,245","-6,394","-4,821","-3,413"
150 International Affairs,"Total, International Affairs","14,057",331,"8,214","11,575","10,382","17,952","27,352","18,224","10,739","24,547","26,446","16,652","18,721","17,179","17,250","18,805","22,685","21,209","32,303","17,693","25,621","16,387","14,571","14,714","37,871","22,642","20,162","25,108","31,689","45,135","32,847","32,712","68,380","47,910","63,376","60,595","53,589","93,339","40,553","57,489","62,674","46,748","41,983","43,838","45,943","47,770"
"250 General Science, Space, and Technology",251 General science and basic research,"1,039",246,"1,136","1,274","1,347","1,460","1,535","1,535","1,637","1,957","2,223","2,107","2,324","2,521","2,835","3,167","3,454","4,105","4,149","4,558","4,132","4,121","4,184","5,627","6,356","6,707","7,662","8,077","8,626","9,046","9,086","9,260","9,799","10,213","15,969","11,860","11,740","12,027","11,614","12,362","12,447","13,102","13,355","13,620","13,754","13,891"
"250 General Science, Space, and Technology","252 Space flight, research, and supporting activities","3,227",850,"3,498","3,807","4,223","4,790","5,108","5,684","6,517","6,858","6,925","7,165","10,198","8,322","10,097","11,460","13,046","13,199","13,063","13,022","12,543","12,570","12,456","12,321","12,460","12,541","13,327","13,901","14,386","14,321","15,243","15,765","15,581","16,580","18,134","18,228","17,913","17,200","16,350","17,081","17,362","17,957","18,317","18,682","18,869","19,057"
"250 General Science, Space, and Technology","Total, General Science, Space, and Technology","4,266","1,095","4,634","5,081","5,570","6,250","6,643","7,218","8,155","8,815","9,148","9,272","12,522","10,843","12,932","14,627","16,500","17,304","17,212","17,580","16,675","16,691","16,640","17,948","18,816","19,248","20,989","21,978","23,012","23,367","24,329","25,025","25,380","26,793","34,103","30,088","29,653","29,227","27,964","29,443","29,809","31,059","31,672","32,302","32,623","32,948"
270 Energy,271 Energy supply,"14,008",993,"4,934","6,123","5,448","40,640","7,165","7,856","7,046","5,348","5,511","4,745","2,280","3,807","2,789","3,394","4,220","4,789","7,404","3,386","3,757","1,777",978,-739,-36,"-2,302","-1,100",-958,-732,"1,864",-98,-948,-803,"2,218","18,216","5,776","5,908","7,739","7,747","6,350","5,854","5,290","4,246","2,312","2,280","4,392"
270 Energy,272 Energy conservation,79,39,242,527,611,738,700,168,449,455,472,426,234,310,314,366,461,511,561,669,715,533,533,584,619,737,807,896,881,868,859,781,828,"1,233","23,678","1,105",232,-183,96,"1,043","1,132","1,638","1,670","1,703","1,719","1,736"
270 Energy,274 Emergency energy preparedness,431,48,445,"3,175","3,008","-2,000","2,791","3,875","2,316","1,268","2,056",113,153,609,422,571,336,282,60,216,144,..........,-11,208,160,158,149,179,180,176,175,155,169,199,215,255,135,-297,100,"-2,546",202,265,270,275,278,281
270 Energy,"276 Energy information, policy, and regulation",651,179,711,841,777,943,"1,098",871,871,780,642,717,721,620,537,595,369,513,240,454,411,330,195,243,236,222,261,282,245,295,373,316,460,578,696,601,437,486,502,586,477,529,538,546,552,558
270 Energy,"Total, Energy","15,169","1,259","6,332","10,665","9,843","40,320","11,753","12,770","10,683","7,851","8,681","6,002","3,388","5,347","4,061","4,925","5,386","6,095","8,264","4,725","5,027","2,640","1,695",296,979,"-1,185",117,399,574,"3,203","1,309",304,654,"4,228","42,805","7,737","6,712","7,745","8,445","5,433","7,665","7,722","6,724","4,836","4,829","6,967"
300 Natural Resources and Environment,301 Water resources,"3,036","1,079","3,635","3,781","3,577","4,085","4,079","3,913","4,608","3,781","4,087","3,678","4,107","4,295","4,312","4,332","4,370","4,768","4,801","5,253","4,128","4,172","5,157","5,053","4,710","4,800","5,362","5,883","5,653","5,632","7,003","13,309","7,971","10,912","19,065","6,813","6,146","7,939","11,087","7,059","6,636","5,885","6,032","6,138","6,215","6,573"
300 Natural Resources and Environment,302 Conservation and land management,714,137,"1,051","1,742","1,504","1,572","1,631","1,154","2,199","1,749","1,852","1,776","2,152","3,062","4,178","4,362","4,593","5,411","5,535","5,860","5,975","5,980","6,079","6,259","6,485","6,604","8,858","9,797","10,638","10,846","9,727","8,585","9,343","9,587","12,075","11,933","10,926","10,505","10,639","11,594","11,101","13,228","14,269","14,349","14,523","14,825"
300 Natural Resources and Environment,303 Recreational resources,706,146,"1,032","1,546","1,507","1,373",986,968,"1,265","1,086","1,156","1,099","1,245","1,229","1,409","1,804","1,794","1,921","1,835","1,949","1,964","2,095","2,238","2,955","2,472","2,719","2,930","3,022","2,903","2,969","3,009","3,010","3,109","3,352","4,226","3,809","3,550","3,476","3,824","3,848","3,958","4,776","5,441","5,637","5,284","5,336"
300 Natural Resources and Environment,304 Pollution control and abatement,684,168,"2,691","5,376","5,306","4,672","2,982","3,645","3,677","4,037","4,303","3,399","5,296","4,932","5,068","5,545","6,151","6,595","6,908","6,584","5,874","6,431","6,627","7,192","7,422","7,483","7,740","7,995","8,072","8,545","8,103","7,777","7,690","7,547","14,955","10,473","8,548","8,647","8,499","8,343","8,162","12,611","8,769","9,011","9,108","9,200"
300 Natural Resources and Environment,306 Other natural resources,916,243,"1,080","1,206","1,357","1,395","1,494","1,583","1,547","1,622","1,934","1,761","1,770","1,852","2,005","2,077","2,309","2,571","2,542","2,933","2,978","2,814","2,822","2,885","3,314","3,397","4,067","4,401","4,505","4,853","5,158","5,382","5,619","5,758","7,071","6,629","6,186","6,392","6,989","6,877","7,324","7,856","8,015","8,187","8,185","8,322"
300 Natural Resources and Environment,"Total, Natural Resources and Environment","6,055","1,773","9,489","13,651","13,251","13,096","11,171","11,263","13,297","12,276","13,332","11,713","14,570","15,370","16,973","18,121","19,216","21,266","21,621","22,578","20,919","21,492","22,923","24,344","24,403","25,003","28,957","31,098","31,771","32,845","33,000","38,063","33,732","37,156","57,392","39,657","35,356","36,959","41,038","37,721","37,181","44,356","42,526","43,322","43,315","44,256"
350 Agriculture,351 Farm income stabilization,"3,833",463,"2,601","4,977","13,294","8,894","11,864","22,571","33,440","9,895","25,512","28,015","23,344","16,267","18,878","12,144","14,564","19,486","16,299","14,145","5,779","6,893","8,584","9,842","21,026","30,224","24,988","19,494","20,026","28,426","24,631","20,887","18,299","12,835","19,155","14,227","17,003","16,217","23,144","19,556","19,536","20,948","21,471","19,476","14,643","13,540"
350 Agriculture,352 Agricultural research and services,927,234,"1,028","1,161","1,335","1,333","1,473","1,505","1,607","1,753","1,818","1,741","1,910","1,973","2,006","2,117","2,379","2,607","2,540","2,666","2,650","2,602","2,724","2,740","2,907","3,304","3,898","4,064","4,611","4,303","4,604","4,737","4,485","4,614","4,981","5,620","4,507","4,643","4,292","4,905","4,768","5,336","5,452","5,586","5,521","5,571"
350 Agriculture,"Total, Agriculture","4,760",697,"3,629","6,139","14,630","10,227","13,336","24,075","35,048","11,648","27,330","29,756","25,254","18,241","20,884","14,261","16,943","22,093","18,838","16,811","8,429","9,495","11,308","12,582","23,933","33,528","28,886","23,558","24,637","32,729","29,235","25,624","22,784","17,449","24,136","19,847","21,510","20,860","27,436","24,461","24,304","26,284","26,923","25,062","20,164","19,111"
370 Commerce and Housing Credit,371 Mortgage credit,"9,737",468,"5,149","5,338","6,409","9,962","9,208","9,188","7,227","8,349","6,881","3,666","3,449","8,361","6,614","9,847","7,816","4,514","2,302","1,486","1,350","1,017",148,"-1,465",792,"1,000","1,937",-384,-286,17,-490,207,"-2,629","198,423","197,364","-22,500","-5,043","-28,078","-38,596","-76,003","-25,958","-23,385","-23,199","-22,434","-19,209","-17,746"
370 Commerce and Housing Credit,372 Postal service,"1,708",934,"2,266","1,787","1,785","1,677","1,343",707,989,"1,798","2,639","2,504","2,944","1,458","2,046","3,573","3,812","2,709","2,400","2,863","2,684","3,563","3,851","6,445","5,636","3,812","4,332","3,754","5,462","2,117","1,573","3,797",645,"4,186","5,296",-681,"1,097","2,329",74,75,359,573,"-3,019","-3,013","-3,010","-3,008"
370 Commerce and Housing Credit,(On-budget),"1,708",934,"2,266","1,787","1,785","1,677","1,343",707,789,879,"1,209",716,650,517,436,490,511,511,161,130,130,122,126,86,29,100,268,683,76,60,568,104,"-8,254","-5,491","-1,282","-5,381",101,74,74,78,100,41,"-3,290","-3,290","-3,290","-3,290"
370 Commerce and Housing Credit,(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,200,919,"1,430","1,788","2,294",941,"1,610","3,083","3,301","2,198","2,239","2,732","2,554","3,441","3,725","6,359","5,607","3,712","4,064","3,071","5,386","2,057","1,005","3,693","8,899","9,677","6,578","4,700",996,"2,255",..........,-3,259,532,271,277,280,282
370 Commerce and Housing Credit,373 Deposit insurance,..........,..........,..........,-10,..........,"1,200",15,36,..........,"1,081",200,"3,000","2,699","10,835","51,020","45,624","72,789","36,961","2,462","19,520",859,11,-25,-33,1,..........,-125,-4,-60,1,423,401,406,"1,222","23,449","-8,255","-6,600",51,183,1,"1,081","1,753","2,855","4,030","5,277","6,592"
370 Commerce and Housing Credit,376 Other advancement of commerce,"1,082",174,"1,403","1,643","1,758","2,495","2,187","1,837","1,955","2,078","2,496","1,958","2,045","2,411","2,745","3,946","2,926","3,412","3,615","3,465","3,535","3,471","4,083","9,376","7,916","10,617","6,194","7,874","9,731","12,000","12,721","9,896","11,612","14,402","225,560","-87,556","-43,664","38,104","1,834","8,269","18,085","23,240","15,173","17,967","18,633","22,233"
370 Commerce and Housing Credit,"Total, Commerce and Housing Credit","12,528","1,576","8,818","8,759","9,953","15,333","12,754","11,769","10,171","13,306","12,217","11,129","11,137","23,066","62,425","62,989","87,342","47,595","10,779","27,334","8,428","8,062","8,057","14,323","14,345","15,429","12,338","11,240","14,847","14,135","14,227","14,301","10,034","218,233","451,669","-118,992","-54,210","12,406","-36,505","-67,658","-6,433","2,181","-8,190","-3,450","1,691","8,071"
370 Commerce and Housing Credit,(On-budget),"12,528","1,576","8,818","8,759","9,953","15,333","12,754","11,769","9,971","12,387","10,787","9,340","8,843","22,124","60,815","59,906","84,041","45,397","8,539","24,601","5,874","4,621","4,332","7,964","8,738","11,717","8,274","8,169","9,461","12,078","13,222","10,608","1,135","208,556","445,091","-123,692","-55,206","10,151","-36,505","-67,655","-6,692","1,649","-8,461","-3,727","1,411","7,789"
370 Commerce and Housing Credit,(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,200,919,"1,430","1,788","2,294",941,"1,610","3,083","3,301","2,198","2,239","2,732","2,554","3,441","3,725","6,359","5,607","3,712","4,064","3,071","5,386","2,057","1,005","3,693","8,899","9,677","6,578","4,700",996,"2,255",..........,-3,259,532,271,277,280,282
400 Transportation,401 Ground transportation,"6,904","4,777","5,732","9,872","14,021","15,278","20,249","17,697","19,208","20,685","20,318","19,349","18,244","18,267","18,605","19,369","19,096","23,290","26,446","28,081","27,112","23,346","27,402","31,099","35,856","38,609","44,011","45,863","40,333","45,229","49,507","49,625","50,598","52,574","91,430","67,858","53,692","56,266","66,815","55,563","55,540","77,744","78,851","79,743","80,791","81,833"
400 Transportation,402 Air transportation,"2,311","1,048","3,017","3,287","3,728","3,915","4,046","3,747","4,850","5,266","6,011","5,484","5,518","6,906","7,494","8,260","8,932","10,043","10,396","11,439","8,185","9,576","9,827","10,394","11,368","12,006","18,543","17,304","21,478","18,330","18,971","18,105","19,399","19,771","23,370","21,693","21,901","21,998","20,744","21,344","19,592","19,899","19,396","19,383","19,170","19,746"
400 Transportation,403 Water transportation,"1,615",390,"1,675","1,854","2,057","2,192","2,552","2,931","2,912","3,244","3,105","3,915","3,120","2,861","3,112","3,168","3,122","3,320","3,287","3,604","3,684","3,379","3,499","3,637","4,139","4,527","4,560","5,444","6,624","7,200","7,384","7,608","8,315","8,788","9,793","10,142","10,527","9,958","9,886","9,706","9,423","9,679","9,916","10,123","10,292","10,543"
400 Transportation,407 Other transportation,74,19,83,85,91,97,109,88,110,114,126,111,115,107,132,143,251,277,299,321,319,312,344,207,222,233,240,238,295,301,373,353,370,357,402,396,391,406,415,426,431,464,471,482,487,491
400 Transportation,"Total, Transportation","10,905","6,234","10,507","15,098","19,897","21,483","26,957","24,464","27,080","29,309","29,559","28,859","26,996","28,141","29,342","30,940","31,401","36,929","40,428","43,445","39,300","36,613","41,072","45,337","51,585","55,375","67,354","68,849","68,730","71,060","76,235","75,691","78,682","81,490","124,995","100,089","86,511","88,628","97,860","87,039","84,986","107,786","108,634","109,731","110,740","112,613"
450 Community and Regional Development,451 Community development,"2,764",81,"3,689","4,403","4,775","4,972","4,783","4,328","5,398","4,818","4,262","3,725","3,818","3,546","3,061","4,060","3,694","3,788","4,848","5,461","5,193","5,083","5,187","5,492","5,486","5,395","6,553","8,066","5,718","5,780","5,724","21,641","4,722","18,502","8,289","6,121","5,888","4,652","19,543","4,271","4,212","4,559","4,343","4,430","4,473","4,515"
450 Community and Regional Development,452 Area and regional development,"2,604",649,"9,235","3,524","4,082","4,331","4,373","3,644","4,104","3,824","3,660","2,684","2,620","5,080","3,512","4,033","4,061","3,284","2,919","3,219","3,301","2,767","2,920","2,575","2,705","2,836","3,314","3,458","2,956","2,535","2,636","2,474","2,390","3,119","8,061","3,156","2,760","3,149","2,343","2,972","2,768","12,729","2,995","3,026","3,074","3,081"
450 Community and Regional Development,453 Disaster relief and insurance,335,60,684,"3,246","2,266","2,426",810,417,480,257,239,475,210,205,"1,308","1,725",-2,"5,218","2,383","6,910","4,501","4,688","5,458","2,557","3,097","3,028","4,658","11,497","8,025","9,821","76,135","6,985","10,529","19,890","7,599","11,937","6,607","10,703","29,180","9,289","11,492","12,769","6,328","6,337","6,789","6,808"
450 Community and Regional Development,"Total, Community and Regional Development","5,703",790,"13,608","11,173","11,123","11,728","9,966","8,390","9,983","8,899","8,162","6,884","6,647","8,830","7,881","9,817","7,753","12,290","10,150","15,591","12,995","12,538","13,565","10,624","11,288","11,259","14,525","23,021","16,699","18,136","84,495","31,100","17,641","41,511","23,949","21,214","15,255","18,504","51,066","16,532","18,472","30,057","13,666","13,793","14,336","14,404"
"500 Education, Training, Employment, and Social Services","501 Elementary, secondary, and vocational education","4,624","2,826","5,825","6,146","7,047","7,404","6,808","6,341","6,816","7,207","7,926","7,644","8,965","9,502","10,125","11,293","13,130","14,230","14,214","14,782","15,224","13,697","17,044","18,794","16,859","17,136","26,037","32,927","36,396","38,254","38,845","39,688","38,109","37,218","115,195","50,520","39,889","39,421","38,189","39,287","39,178","44,945","47,279","50,211","52,208","53,786"
"500 Education, Training, Employment, and Social Services",502 Higher education,"3,828",185,"3,858","4,523","5,854","6,775","8,895","8,012","7,364","6,900","9,705","8,723","9,001","8,932","10,934","11,311","12,374","12,166","14,750","9,595","14,438","12,725","13,521","13,829","13,679","11,877","10,472","19,543","23,573","25,602","32,294","57,011","26,718","24,626","12,092","12,558","5,939","20,383","2,464","17,194","59,601","30,072","36,528","43,669","48,172","52,431"
"500 Education, Training, Employment, and Social Services",503 Research and general education aids,748,339,"1,011","1,140","1,249","1,170","1,225","1,173","1,259","1,244","1,337","1,289","1,413","1,470","1,547","1,628","1,916","2,083","2,132","2,188","2,281","2,118","2,350","2,244","2,602","2,645","3,106","2,852","2,962","3,085","3,213","3,178","3,164","3,342","3,899","3,812","3,567","3,511","3,349","3,447","3,479","3,858","3,937","4,012","4,045","4,026"
"500 Education, Training, Employment, and Social Services",504 Training and employment,"7,264",839,"13,969","4,802","11,739","9,623","9,109","4,386","5,515","8,688","5,422","4,875","5,226","5,327","5,392","6,093","6,771","7,252","7,347","7,981","7,093","6,911","7,620","8,382","8,732","4,862","7,797","7,623","7,385","7,255","7,432","7,210","7,320","7,310","11,840","8,528","7,307","8,110","7,331","7,369","6,897","29,017","8,167","8,285","8,343","8,403"
"500 Education, Training, Employment, and Social Services",505 Other labor services,329,82,383,440,522,572,606,600,640,685,716,679,730,778,802,817,808,894,933,957,993,957,"1,007","1,041","1,128","1,242","1,441","1,531","1,587","1,610","1,634","1,636","1,650","1,534","1,749","1,872","1,896","1,918","1,813","1,856","1,861","2,171","2,208","2,253","2,276","2,296"
"500 Education, Training, Employment, and Social Services",506 Social services,"5,221","1,207","5,446","5,561","6,684","6,143","5,693","5,581","6,009","6,228","6,492","6,322","6,849","8,224","8,396","8,349","9,143","9,420","10,457","13,147","11,985","11,269","12,073","12,387","12,491","11,715","14,656","15,406","15,749","16,210","16,560","17,079","16,675","17,314","22,780","17,865","17,941","18,310","18,024","18,644","18,713","21,316","21,664","22,046","22,283","22,442"
"500 Education, Training, Employment, and Social Services","Total, Education, Training, Employment, and Social Services","22,013","5,480","30,493","22,613","33,095","31,689","32,336","26,093","27,602","30,952","31,597","29,533","32,183","34,233","37,195","39,491","44,141","46,045","49,834","48,651","52,014","47,677","53,615","56,677","55,491","49,477","63,509","79,882","87,652","92,016","99,978","125,802","93,636","91,344","167,555","95,155","76,539","91,653","71,170","87,797","129,729","131,379","119,783","130,476","137,327","143,384"
550 Health,551 Health care services,"11,395","2,794","13,403","14,225","17,028","18,480","21,520","22,097","19,228","25,240","26,454","29,416","32,880","36,749","42,011","50,425","63,879","80,086","95,637","102,938","103,099","95,446","114,741","118,709","123,638","140,537","157,657","178,787","200,807","219,528","219,113","262,668","210,534","251,630","327,095","369,259","322,458","324,586","303,786","379,795","453,963","477,378","509,758","543,878","579,372","612,805"
550 Health,552 Health research and training,"3,111",601,"3,502","3,857","4,200","4,565","4,422","4,338","4,743","5,233","5,950","6,057","7,187","7,565","8,277","8,972","9,863","10,693","11,148","11,599","11,887","12,434","13,392","14,270","16,305","18,563","21,488","24,377","28,052","28,932","29,562","29,343","30,174","30,199","42,496","32,268","32,797","32,655","31,116","32,020","32,660","33,740","33,488","34,156","34,414","34,128"
550 Health,554 Consumer and occupational health and safety,684,181,773,864,949,"1,000","1,082","1,044","1,083","1,156","1,196","1,157","1,250","1,313","1,397","1,503","1,646","1,764","1,817","1,935","1,981","1,976","2,040","2,112","2,230","2,370","2,531","2,866","2,793","2,941","3,071","3,154","3,520","3,435","4,025","4,685","4,468","4,656","4,072","4,767","4,716","4,898","4,995","5,096","5,148","5,197"
550 Health,"Total, Health","15,190","3,576","17,678","18,945","22,177","24,045","27,024","27,479","25,053","31,629","33,600","36,631","41,317","45,627","51,684","60,901","75,387","92,543","108,602","116,472","116,967","109,856","130,173","135,091","142,173","161,470","181,676","206,030","231,652","251,401","251,746","295,165","244,228","285,264","373,616","406,212","359,723","361,897","338,974","416,582","491,339","516,016","548,241","583,130","618,934","652,130"
570 Medicare,571 Medicare,"15,785","4,280","19,416","22,826","26,657","32,237","39,148","46,562","52,591","57,835","65,579","71,202","75,105","78,806","85,395","105,882","103,208","133,598","124,757","162,677","156,540","179,652","189,999","193,667","190,625","200,588","217,096","234,428","249,947","271,656","303,410","365,371","385,008","406,561","436,987","452,618","502,275","484,282","507,813","527,580","560,430","589,984","590,676","592,396","652,367","696,952"
600 Income Security,601 General retirement and disability insurance (excluding social security),"3,534","1,165","3,717","3,723","5,326","5,446","5,557","5,537","5,520","5,334","5,473","5,711","5,373","5,681","5,760","5,672","5,911","5,989","5,678","6,244","5,540","6,185","5,950","5,841","2,573","6,128","6,869","6,738","6,449","6,480","5,303","7,229","7,418","7,545","14,583","7,921","7,988","8,061","8,521","8,612","9,039","9,400","9,248","9,191","9,450","9,867"
600 Income Security,602 Federal employee retirement and disability,"16,092","4,317","18,349","20,577","23,215","27,340","32,007","35,146","37,578","38,898","40,881","42,865","44,545","47,936","50,667","53,631","57,150","58,351","61,675","64,062","67,309","69,754","72,743","75,233","76,783","79,010","82,531","85,180","86,830","90,556","95,116","100,764","106,092","110,902","119,515","122,102","122,868","128,418","133,610","136,821","140,175","143,835","147,250","151,589","156,454","161,422"
600 Income Security,603 Unemployment compensation,"15,006","2,907","16,036","10,749","10,848","17,927","19,748","25,153","30,576","20,669","16,372","17,030","16,980","15,217","15,761","18,960","27,179","39,534","38,164","28,696","23,750","24,964","22,968","22,130","23,725","23,023","32,694","53,551","57,464","45,596","35,150","33,791","35,298","45,630","127,635","166,191","119,282","93,602","70,817","44,194","38,832","43,737","43,077","43,761","46,691","49,406"
600 Income Security,604 Housing assistance,"19,421",111,"28,632","32,305","24,789","27,941","26,934","14,612","10,502","12,675","26,882","11,646","9,868","9,700","9,570","11,263","19,779","19,790","21,245","21,214","15,436","16,545","11,877","17,643","20,593","18,351","25,357","27,192","28,986","29,804","30,120","31,489","34,008","35,295","106,393","53,778","44,166","40,128","39,503","42,842","42,749","46,725","47,566","48,420","48,863","49,304"
600 Income Security,605 Food and nutrition assistance,"7,737","1,966","8,875","9,017","10,566","13,775","16,576","15,785","18,204","18,285","18,712","18,853","19,618","20,700","21,432","25,223","29,605","33,624","39,181","40,085","40,818","40,434","41,019","37,840","35,552","35,925","35,030","38,880","43,349","48,582","53,428","60,249","58,382","60,791","83,561","95,415","105,049","115,139","112,049","115,485","111,399","113,385","115,116","115,721","116,148","114,561"
