Function,Subfunction,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
150 International Affairs,151 International development and humanitarian assistance,"2,883","3,079","3,367","3,357","3,478","3,085","2,879","2,484","2,341","2,296","2,394","1,741","2,430","3,134","2,636","1,119","2,823","2,647","2,910","3,626","4,131","3,772","3,955","4,478","5,408","4,967","4,319","4,703","4,836","5,498","5,141","6,132","5,825","7,048","7,598","6,160","6,003","5,395","5,653","6,516","7,185","7,812","10,324","13,807","17,696","16,693","15,524","14,074","22,095","19,014","21,255","21,882","22,551","23,532","26,785","25,410","25,000","24,012","23,747","23,666"
150 International Affairs,152 International security assistance,"1,958","2,185","1,830","1,599","1,590","1,530","1,051","1,102","1,094","1,367","1,446","1,427","1,824","2,535","2,683","1,470","3,075","3,926","3,655","4,763","5,095","5,416","6,613","7,924","9,391","10,499","7,106","4,500","1,467","8,652","9,823","7,490","7,639","6,642","5,252","4,565","4,632","5,135","5,531","6,387","6,560","7,907","8,620","8,369","7,895","7,811","7,982","9,480","6,247","11,363","12,042","11,464","9,954","11,381","12,540","14,447","14,145","12,792","12,202","11,694"
150 International Affairs,153 Conduct of foreign affairs,249,346,231,336,354,369,354,370,398,405,452,476,609,659,727,263,982,"1,128","1,310","1,366","1,343","1,625","1,761","1,869","2,038","2,266","2,206","2,726","2,885","3,045","3,279","3,879","4,298","4,544","4,189","3,753","3,917","3,259","4,160","4,708","5,048","7,035","6,681","7,895","9,148","8,559","8,379","10,388","12,152","13,557","12,486","13,548","13,038","12,859","14,502","14,967","15,800","15,104","15,125","14,961"
150 International Affairs,154 Foreign information and exchange activities,197,201,207,224,228,245,253,237,235,241,274,295,320,348,382,115,386,423,465,534,528,575,607,688,802,915,998,"1,049","1,105","1,102","1,252","1,279","1,351","1,397","1,416","1,186","1,171","1,158","1,226",817,804,906,959,"1,140","1,129","1,162","1,220","1,330","1,330","1,485","1,575","1,556","1,519","1,464","1,665","1,693","1,519","1,554","1,575","1,589"
150 International Affairs,155 International financial programs,353,-503,-690,-242,-69,338,765,407,261,-150,215,211,527,421,4,-509,-913,-642,-881,"2,425","2,007",911,"-1,089",910,"-1,471","-4,501","-2,985","-2,513",-710,"-4,539","-3,648","-2,689","-1,896","-2,564","-2,026","-2,177",-550,"-1,893","-1,331","-1,215","-3,112","-1,345","-5,385","-4,341","-1,303","-4,726","-4,623","-6,415","-4,295",-224,"-1,673","-1,266",-831,"-2,552",-522,-566,"-1,231","-1,101",-807,-107
150 International Affairs,"Total, International Affairs","5,639","5,308","4,945","5,273","5,580","5,566","5,301","4,600","4,330","4,159","4,781","4,149","5,710","7,097","6,433","2,458","6,353","7,482","7,459","12,714","13,104","12,300","11,848","15,869","16,169","14,146","11,645","10,466","9,583","13,758","15,846","16,090","17,218","17,067","16,429","13,487","15,173","13,054","15,239","17,213","16,485","22,315","21,199","26,870","34,565","29,499","28,482","28,857","37,529","45,195","45,685","47,184","46,231","46,684","54,970","55,951","55,233","52,361","51,842","51,803"
"250 General Science, Space, and Technology",251 General science and basic research,497,534,766,789,858,897,930,938,947,"1,009",979,961,"1,017","1,038","1,034",292,"1,078","1,160","1,297","1,381","1,476","1,606","1,644","1,842","2,015","2,207","2,243","2,407","2,626","2,818","3,136","3,551","3,914","3,825","4,099","3,991","4,080","5,306","5,638","6,167","6,520","7,261","7,951","8,392","8,819","9,093","9,149","9,573","10,020","11,730","12,434","12,458","12,479","12,011","12,271","12,824","14,092","13,327","13,507","13,492"
"250 General Science, Space, and Technology","252 Space flight, research, and supporting activities","1,226","2,516","4,131","5,034","5,858","5,336","4,594","4,082","3,564","3,172","3,196","3,071","2,963","2,953","3,338",871,"3,657","3,766","3,937","4,451","4,992","5,593","6,290","6,469","6,607","6,756","6,957","8,413","10,196","11,609","12,957","12,838","13,092","12,363","12,593","12,693","13,056","12,866","12,446","12,427","13,233","13,473","12,880","14,637","14,778","14,491","15,258","17,200","18,397","18,370","17,032","16,602","16,429","16,559","17,577","18,144","18,344","18,637","18,906","19,100"
"250 General Science, Space, and Technology","Total, General Science, Space, and Technology","1,723","3,051","4,897","5,823","6,717","6,233","5,524","5,020","4,511","4,182","4,175","4,032","3,980","3,991","4,373","1,162","4,736","4,926","5,234","5,831","6,468","7,199","7,934","8,311","8,622","8,962","9,200","10,820","12,821","14,426","16,092","16,389","17,006","16,189","16,692","16,684","17,136","18,172","18,084","18,594","19,753","20,734","20,831","23,029","23,597","23,584","24,407","26,773","28,417","30,100","29,466","29,060","28,908","28,570","29,848","30,968","32,436","31,964","32,413","32,592"
270 Energy,271 Energy supply,533,451,485,602,510,673,918,887,856,880,"1,089","1,007",969,"2,446","3,530",913,"4,841","6,075","7,165","8,367","10,202","8,263","6,143","3,255","2,615","2,839","2,318",746,"1,230","1,976","1,945","3,226","3,286","3,899","3,584","1,649",626,181,-118,"-1,818","-1,145",-803,"-2,051","-1,536",-929,234,"-1,983",-413,"2,051","5,801","8,084","9,017","9,038","4,056","7,504","4,087","3,212","1,217","1,363","3,406"
270 Energy,272 Energy conservation,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,48,51,38,143,221,252,569,730,516,477,527,491,515,281,342,333,365,386,468,521,582,671,624,572,621,586,666,760,878,897,926,883,747,580,409,"1,432","4,997","6,736","4,941","1,240",910,"1,302","1,277","1,495","1,590","1,689","1,711"
270 Energy,274 Emergency energy preparedness,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,33,65,32,123,897,"1,021",342,"3,280","3,877","1,855","2,518","1,838",597,788,568,621,442,-235,319,336,275,223,141,23,233,225,162,159,169,182,158,162,-441,195,179,754,199,"-3,263",375,217,-140,460,261,287,296,278,281
270 Energy,"276 Energy information, policy, and regulation",71,80,87,97,101,109,118,122,142,155,207,231,331,389,558,146,664,798,742,877,954,871,878,773,664,739,684,640,521,558,340,486,176,462,458,425,254,235,218,229,235,231,247,305,324,245,356,456,518,621,617,525,547,444,621,599,532,538,548,553
270 Energy,"Total, Energy",604,530,572,699,612,782,"1,037","1,010",997,"1,035","1,296","1,237","1,303","2,916","4,204","1,129","5,770","7,991","9,179","10,156","15,166","13,527","9,353","7,073","5,608","4,690","4,072","2,296","2,705","3,341","2,436","4,499","4,319","5,218","4,936","2,839","1,475","1,270",911,-761,9,475,-725,-147,440,785,-852,631,"4,755","11,618","12,174","14,858","11,042","5,270","9,887","6,224","5,526","3,641","3,878","5,951"
300 Natural Resources and Environment,301 Water resources,"1,290","1,448","1,461","1,546","1,704","1,685","1,644","1,591","1,514","1,768","1,948","2,221","2,200","2,608","2,742",805,"3,213","3,431","3,853","4,223","4,132","3,948","3,904","4,070","4,122","4,041","3,783","4,034","4,271","4,401","4,366","4,559","4,258","4,488","4,625","4,536","4,411","4,647","4,725","5,078","5,237","5,570","5,492","5,571","5,726","8,030","5,104","6,074","8,068","11,662","11,621","9,178","7,675","7,912","9,181","9,155","8,206","8,107","7,829","7,769"
300 Natural Resources and Environment,302 Conservation and land management,376,357,364,384,351,417,457,323,436,553,522,403,243,761,744,193,736,"1,229","1,070","1,348","1,490","1,365","1,787","1,615","1,860","1,749","1,822","2,589","3,792","4,030","4,646","5,268","5,498","5,789","5,958","5,980","5,669","6,204","6,367","6,762","7,109","9,797","9,739","9,758","6,226","7,813","9,646","8,718","9,813","10,783","11,955","11,101","10,723","9,707","13,173","13,751","14,038","14,786","14,849","14,771"
300 Natural Resources and Environment,303 Recreational resources,123,148,167,175,189,222,269,315,303,397,439,464,551,696,739,207,838,"1,207","1,239","1,372","1,297","1,154","1,170","1,263","1,230","1,141","1,206","1,268","1,336","1,388","1,531","1,681","1,890","1,871","1,998","1,933","2,029","2,092","2,657","2,540","2,311","2,735","2,843","2,944","2,990","3,042","2,956","3,208","3,550","3,911","4,157","3,752","3,506","3,362","3,673","4,255","5,030","5,721","5,710","5,510"
300 Natural Resources and Environment,304 Pollution control and abatement,70,87,117,134,158,190,249,303,384,702,764,"1,122","2,035","2,523","3,067","1,091","4,279","3,965","4,707","5,510","5,170","5,012","4,263","4,044","4,465","4,831","4,869","4,832","4,878","5,156","5,854","6,073","6,066","6,042","6,502","6,180","6,284","6,417","6,891","7,395","7,502","7,602","8,201","8,473","8,065","8,565","8,410","8,079","8,270","10,841","10,946","10,813","9,624","8,634","8,536","8,807","9,890","9,453","8,712","8,981"
300 Natural Resources and Environment,306 Other natural resources,186,212,255,292,317,354,370,368,428,495,567,565,668,757,891,228,966,"1,151","1,266","1,405","1,478","1,519","1,548","1,595","1,668","1,866","1,675","1,878","1,890","2,080","2,148","2,420","2,512","2,811","2,806","2,874","2,808","2,918","3,303","3,228","3,373","3,722","3,392","3,948","4,976","5,575","5,605","5,741","5,872","6,470","6,794","6,787","6,617","6,556","7,180","8,343","8,203","8,294","8,325","8,396"
300 Natural Resources and Environment,"Total, Natural Resources and Environment","2,044","2,251","2,364","2,531","2,719","2,869","2,988","2,900","3,065","3,915","4,241","4,775","5,697","7,346","8,184","2,524","10,032","10,983","12,135","13,858","13,568","12,998","12,672","12,586","13,345","13,628","13,355","14,601","16,169","17,055","18,544","20,001","20,224","21,000","21,889","21,503","21,201","22,278","23,943","25,003","25,532","29,426","29,667","30,694","27,983","33,025","31,721","31,820","35,573","43,667","45,473","41,631","38,145","36,171","41,743","44,311","45,367","46,361","45,425","45,427"
350 Agriculture,351 Farm income stabilization,"3,222","4,047","4,241","3,551","2,004","2,515","4,032","5,304","4,589","3,651","4,553","4,099","1,458","2,160","2,249",743,"5,735","10,228","9,895","7,441","9,783","14,344","21,316","11,828","23,702","29,570","24,697","15,223","14,699","9,550","12,743","12,499","17,557","12,219","7,037","6,478","6,261","9,313","20,039","33,442","22,746","18,371","18,302","11,182","22,043","21,405","13,089","13,756","17,628","16,478","15,875","13,061","25,213","20,012","15,975","16,832","20,975","19,004","14,200","13,062"
350 Agriculture,352 Agricultural research and services,340,337,368,404,444,475,512,521,577,639,675,722,736,837,860,229,998,"1,073","1,281","1,333","1,458","1,522","1,491","1,649","1,725","1,749","1,770","1,865","1,999","2,087","2,143","2,423","2,524","2,575","2,634","2,557","2,628","2,764","2,840","3,016","3,506","3,594","4,194","4,257","4,522","4,564","4,573","4,631","4,609","4,878","4,787","4,730","4,465","4,374","5,822","5,456","5,452","5,645","5,643","5,666"
350 Agriculture,"Total, Agriculture","3,562","4,384","4,609","3,954","2,447","2,990","4,544","5,826","5,166","4,290","5,227","4,821","2,194","2,997","3,109",972,"6,734","11,301","11,176","8,774","11,241","15,866","22,807","13,477","25,427","31,319","26,466","17,088","16,698","11,637","14,886","14,922","20,081","14,795","9,671","9,035","8,889","12,077","22,879","36,458","26,252","21,965","22,496","15,439","26,565","25,969","17,662","18,387","22,237","21,356","20,662","17,791","29,678","24,386","21,797","22,288","26,427","24,649","19,843","18,728"
370 Commerce and Housing Credit,371 Mortgage credit,650,-592,-54,277,"2,494","2,846","3,261",-720,590,74,550,-399,"2,119","5,463","4,336",562,"2,609","4,553","3,991","5,887","6,063","6,056","5,135","4,382","3,054",934,-67,"4,992","4,978","3,845","5,362","4,320","1,554",-501,"-1,038","-5,025","-4,006","-2,934",364,"-3,335","-1,164","-7,015","-4,591","2,659",-862,-619,"-4,986",17,"99,760","35,804","14,158","-8,143","-87,854","-84,300","-34,132","-31,293","-32,329","-32,403","-29,924","-29,330"
370 Commerce and Housing Credit,372 Postal service,797,770,578,805,888,"1,141","1,080",920,"1,510","2,183","1,772","1,567","2,471","2,989","2,805",212,"2,094","1,282",896,"1,246","1,432",154,"1,111","1,239","1,351",758,"1,593","2,229",127,"2,116","1,828","1,169","1,602","1,233","-1,839",-58,77,303,"1,050","2,129","2,395",207,"-5,169","-4,070","-1,223",-971,"-3,161","-3,074",-978,-682,909,"2,744","-1,839","-2,453",-458,"-1,567","-1,377","-1,963","-3,010","-3,008"
370 Commerce and Housing Credit,(On-budget),797,770,578,805,888,"1,141","1,080",920,"1,510","2,183","1,418","1,410","1,698","1,877","1,720",938,"2,267","1,778","1,787","1,677","1,343",707,789,879,"1,210",716,650,517,436,490,511,511,161,130,130,122,126,86,29,100,93,858,76,60,568,104,"-8,254","-5,491","-1,282","-5,382",101,74,74,78,100,41,"-3,290","-3,290","-3,290","-3,290"
370 Commerce and Housing Credit,(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,355,157,773,"1,112","1,085",-726,-173,-496,-891,-431,89,-553,322,360,142,42,943,"1,712",-310,"1,626","1,317",659,"1,441","1,103","-1,969",-180,-49,217,"1,021","2,029","2,302",-651,"-5,245","-4,130","-1,791","-1,075","5,093","2,417",304,"4,700",808,"2,670","-1,913","-2,531",-558,"-1,608","1,913","1,327",280,282
370 Commerce and Housing Credit,373 Deposit insurance,-394,-423,-436,-389,-486,-401,-522,-603,-501,-383,-597,-805,-611,511,-573,-63,"-2,788",-988,"-1,745",-285,"-1,371","-2,056","-1,253",-616,"-2,198","1,394","3,106","10,020","21,996","57,891","66,232","2,518","-27,957","-7,570","-17,827","-8,394","-14,384","-4,371","-5,280","-3,053","-1,569","-1,026","-1,430","-1,976","-1,371","-1,110","-1,492","18,760","22,573","-32,033","-8,697","6,666","4,292","-13,823","-7,894","-8,485","-9,748","-8,350","-6,602","-3,687"
370 Commerce and Housing Credit,376 Other advancement of commerce,371,307,331,465,348,394,462,284,513,492,497,568,726,984,"1,051",221,"1,178","1,406","1,545","2,542","2,083","2,101","1,688","1,954","2,130","1,973","1,802","1,922","2,608","3,747","2,848","2,911","2,949","2,609","2,896","2,999","3,673","8,009","6,507","7,466","6,069","7,427","11,917","8,652","11,022","8,887","10,126","12,167","170,180","-85,405","-18,943","39,380","2,202","5,715","13,867","18,777","18,750","20,390","20,715","23,959"
370 Commerce and Housing Credit,"Total, Commerce and Housing Credit","1,424",62,418,"1,157","3,245","3,979","4,280",-119,"2,112","2,366","2,222",931,"4,705","9,947","7,619",931,"3,093","6,254","4,686","9,390","8,206","6,256","6,681","6,959","4,337","5,058","6,434","19,163","29,709","67,599","76,270","10,918","-21,853","-4,228","-17,808","-10,478","-14,640","1,007","2,641","3,207","5,731",-407,727,"5,265","7,566","6,187",487,"27,870","291,535","-82,316","-12,573","40,647","-83,199","-94,861","-28,617","-22,568","-24,704","-22,326","-18,821","-12,066"
370 Commerce and Housing Credit,(On-budget),"1,424",62,418,"1,157","3,245","3,979","4,280",-119,"2,112","2,366","1,867",774,"3,932","8,835","6,534","1,657","3,266","6,750","5,577","9,821","8,117","6,809","6,359","6,599","4,195","5,016","5,492","17,451","30,019","65,973","74,953","10,260","-23,294","-5,331","-15,839","-10,298","-14,591",790,"1,620","1,178","3,429",244,"5,972","9,395","9,357","7,262","-4,606","25,453","291,231","-87,016","-13,381","37,977","-81,286","-92,330","-28,059","-20,960","-26,617","-23,653","-19,101","-12,348"
370 Commerce and Housing Credit,(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,355,157,773,"1,112","1,085",-726,-173,-496,-891,-431,89,-553,322,360,142,42,943,"1,712",-310,"1,626","1,317",659,"1,441","1,103","-1,969",-180,-49,217,"1,021","2,029","2,302",-651,"-5,245","-4,130","-1,791","-1,075","5,093","2,417",304,"4,700",808,"2,670","-1,913","-2,531",-558,"-1,608","1,913","1,327",280,282
400 Transportation,401 Ground transportation,"2,855","3,090","3,715","4,105","4,072","4,139","4,378","4,443","4,678","5,182","5,356","5,641","5,583","7,027","9,602","2,336","10,226","10,431","12,662","15,274","17,074","14,321","14,265","16,158","17,606","18,725","17,150","18,148","17,946","18,954","19,545","20,347","21,251","23,940","25,297","25,650","26,795","26,004","28,052","31,697","35,804","40,158","37,491","40,744","42,317","45,209","46,818","49,978","54,103","60,784","60,902","61,308","60,005","60,827","62,344","66,284","72,650","76,452","77,879","79,233"
400 Transportation,402 Air transportation,818,851,882,941,961,"1,042","1,084","1,206","1,408","1,807","1,907","2,159","2,216","2,387","2,531",578,"2,786","3,243","3,355","3,723","3,814","3,526","4,000","4,415","4,895","5,287","5,520","5,897","6,622","7,234","8,184","9,313","10,049","10,146","10,020","10,135","10,138","10,622","10,720","10,571","13,975","16,538","23,343","16,743","18,807","18,005","18,096","19,399","20,799","21,431","21,353","21,725","21,464","20,923","20,328","20,766","20,371","20,141","19,513","19,574"
400 Transportation,403 Water transportation,617,655,646,717,695,749,841,857,895,"1,027","1,094","1,211","1,316","1,430","1,542",415,"1,741","1,787","1,969","2,229","2,381","2,687","2,969","3,010","3,201","3,964","3,461","3,111","2,916","3,151","3,148","3,429","3,423","3,648","3,732","3,460","3,554","3,518","3,546","4,394","4,401","5,041","5,907","6,898","6,439","6,688","7,695","8,121","9,093","9,351","10,359","9,650","9,774","9,759","9,602","11,189","10,299","10,141","10,257","10,497"
400 Transportation,407 Other transportation,..........,..........,..........,..........,3,6,13,21,26,37,36,56,57,74,65,28,76,61,93,104,110,90,99,85,137,136,91,116,124,146,223,244,281,333,301,320,280,199,214,191,267,96,328,242,331,342,296,118,294,406,352,336,430,406,619,503,510,469,474,480
400 Transportation,"Total, Transportation","4,290","4,596","5,242","5,763","5,730","5,936","6,316","6,526","7,008","8,052","8,392","9,066","9,172","10,918","13,739","3,358","14,829","15,521","18,079","21,329","23,379","20,625","21,334","23,669","25,838","28,113","26,222","27,272","27,608","29,485","31,099","33,332","35,004","38,066","39,350","39,565","40,767","40,343","42,532","46,853","54,447","61,833","67,069","64,627","67,894","70,244","72,905","77,616","84,289","91,972","92,966","93,019","91,673","91,915","92,893","98,742","103,830","107,203","108,123","109,784"
450 Community and Regional Development,451 Community development,266,233,316,413,423,580,649,833,"1,449","1,728","2,100","2,044","2,108","2,318","2,772",896,"3,411","3,298","4,000","4,907","5,070","4,608","4,353","4,520","4,598","4,094","3,679","3,448","3,693","3,530","3,543","3,643","3,681","4,133","4,744","4,860","4,962","5,118","5,116","5,480","5,313","5,998","6,346","6,167","5,861","5,845","11,834","10,198","7,719","9,901","9,605","8,769","7,814","7,896","8,876","8,289","7,989","7,306","6,536","5,407"
450 Community and Regional Development,452 Area and regional development,179,307,592,648,448,450,613,679,685,835,928,981,"1,339","1,607","2,149",563,"2,961","5,672","4,868","4,303","3,818","3,841","3,212","3,034","3,113","2,723","1,599","2,075","1,894","2,902","2,745","2,317","2,541","2,337","2,723","2,727","2,741","2,512","2,327","2,538","2,634","2,633","2,397","2,351","2,745","2,580","2,514","2,584","3,221","3,249","4,050","4,424","1,540","3,027","4,129","3,592","3,279","3,386","3,686","3,825"
