Function,Subfunction,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
450 Community and Regional Development,453 Disaster relief and insurance,23,34,25,53,234,78,120,40,257,353,396,"1,580",782,398,522,111,649,"2,871","1,611","2,043","1,680",-102,-1,119,-35,416,-229,-230,-226,"2,098",522,876,"2,924","4,150","3,279","3,154","3,346","2,141","4,422","2,605","3,826","4,350","10,107","7,302","17,656","46,040","15,219","11,170","16,736","10,744","10,228","11,939","22,982","9,747","14,229","9,935","9,966","9,969","7,296","5,200"
450 Community and Regional Development,"Total, Community and Regional Development",469,574,933,"1,114","1,105","1,108","1,382","1,552","2,392","2,917","3,423","4,605","4,229","4,322","5,442","1,569","7,021","11,841","10,480","11,252","10,568","8,347","7,564","7,673","7,676","7,233","5,049","5,293","5,362","8,531","6,810","6,836","9,146","10,620","10,746","10,741","11,049","9,771","11,865","10,623","11,773","12,981","18,850","15,820","26,262","54,465","29,567","23,952","27,676","23,894","23,883","25,132","32,336","20,670","27,234","21,816","21,234","20,661","17,518","14,432"
"500 Education, Training, Employment, and Social Services","501 Elementary, secondary, and vocational education",482,553,579,719,"1,627","2,310","2,516","2,470","2,893","3,333","3,686","3,573","3,573","4,349","4,200","1,074","4,638","5,186","6,123","6,893","7,099","6,722","6,258","6,483","7,598","7,802","7,869","8,377","9,150","9,918","11,372","12,402","13,481","14,258","14,694","14,871","15,073","16,606","17,589","20,578","22,858","25,879","31,473","34,360","38,271","39,710","38,427","38,918","53,206","73,261","66,476","47,492","42,407","40,813","43,363","39,694","42,706","46,045","49,380","51,700"
"500 Education, Training, Employment, and Social Services",502 Higher education,328,426,382,413,706,"1,161","1,394","1,234","1,387","1,435","1,448","1,534","1,451","2,182","2,813",744,"3,200","3,710","5,030","6,723","8,767","7,116","7,184","7,318","8,156","8,359","7,361","8,244","10,584","11,107","11,961","11,268","14,474","7,875","14,172","12,191","12,298","12,070","10,672","10,115","9,568","17,049","22,697","25,264","31,442","50,471","24,637","23,566","-3,258","20,908","1,108","12,113",-525,"20,104","60,826","30,245","34,173","40,944","45,104","49,328"
"500 Education, Training, Employment, and Social Services",503 Research and general education aids,58,55,62,92,122,156,240,210,355,295,319,429,621,790,783,180,894,"1,033","1,157","1,212","1,171","1,211","1,155","1,330","1,228","1,265","1,358","1,368","1,507","1,572","1,775","1,995","2,053","2,098","2,128","2,228","2,150","2,280","2,333","2,543","2,728","2,950","2,992","3,031","3,124","2,998","3,153","3,194","3,456","3,631","3,710","3,704","3,705","3,552","3,500","3,593","3,805","3,915","3,986","3,971"
"500 Education, Training, Employment, and Social Services",504 Training and employment,189,203,291,528,983,"1,233","1,582","1,560","1,602","1,952","2,894","3,283","2,910","4,063","6,288","1,912","6,877","10,784","10,833","10,345","9,241","5,464","5,295","4,644","4,972","5,257","5,084","5,215","5,292","5,619","5,934","6,479","6,700","7,097","7,430","7,030","6,681","6,636","6,783","6,777","7,192","8,354","8,379","7,918","6,852","7,199","7,080","7,181","7,652","9,854","9,139","7,779","7,271","7,013","7,692","10,936","11,795","10,665","10,537","9,712"
"500 Education, Training, Employment, and Social Services",505 Other labor services,74,84,72,97,101,107,112,122,135,157,184,202,219,259,301,83,374,410,488,551,587,589,599,639,678,672,675,739,786,810,788,884,948,958,965,925,"1,009","1,036","1,076","1,194","1,268","1,433","1,473","1,546","1,615","1,631","1,635","1,623","1,646","1,765","1,869","1,868","1,888","1,834","1,913","2,057","2,167","2,238","2,272","2,292"
"500 Education, Training, Employment, and Social Services",506 Social services,110,137,169,291,823,"1,486","1,791","1,952","2,263","2,677","3,998","3,723","3,682","4,380","4,526","1,176","5,121","5,584","6,588","6,111","6,281","5,508","5,703","6,503","5,957","6,418","6,572","6,984","8,007","8,141","9,401","9,708","9,718","10,994","11,631","11,066","11,761","11,884","12,152","12,557","13,480","14,901","15,573","15,855","16,251","16,473","16,724","16,805","17,047","19,179","18,931","17,867","18,062","17,299","19,462","19,817","21,255","21,787","22,143","22,355"
"500 Education, Training, Employment, and Social Services","Total, Education, Training, Employment, and Social Services","1,241","1,458","1,555","2,140","4,363","6,453","7,634","7,548","8,634","9,849","12,529","12,744","12,455","16,022","18,910","5,169","21,104","26,706","30,218","31,835","33,146","26,609","26,194","26,916","28,589","29,773","28,918","30,928","35,325","37,167","41,231","42,735","47,374","43,281","51,020","48,311","48,972","50,512","50,605","53,764","57,094","70,566","82,587","87,974","97,555","118,482","91,656","91,287","79,749","128,598","101,233","90,823","72,808","90,615","136,756","106,342","115,901","125,594","133,422","139,358"
550 Health,551 Health care services,528,623,740,881,"1,486","2,004","2,694","3,360","3,993","4,766","6,205","6,527","7,707","9,519","11,725","2,945","13,031","13,928","15,988","18,003","21,205","21,786","23,008","24,522","26,984","28,848","32,614","36,016","39,158","47,641","60,722","77,717","86,858","94,259","101,912","106,609","109,962","116,321","124,494","136,201","151,874","172,550","192,573","210,080","219,559","220,800","233,878","247,739","300,013","330,710","332,210","308,160","321,849","374,581","443,590","480,228","504,360","543,795","580,501","602,089"
550 Health,552 Health research and training,580,722,925,780,918,"1,184","1,517","1,599","1,688","1,801","2,085","2,423","2,497","2,779","3,323",811,"3,524","3,752","3,607","4,161","4,615","4,618","4,552","4,767","5,375","5,920","6,153","7,182","7,865","8,596","8,886","10,012","10,781","10,986","11,569","10,827","11,847","13,073","14,383","15,979","17,926","21,356","24,044","27,099","28,050","28,828","29,279","29,883","30,570","34,214","36,198","34,502","32,881","30,911","32,586","32,573","34,033","33,632","34,745","33,959"
550 Health,554 Consumer and occupational health and safety,89,106,123,130,138,163,179,203,226,277,383,406,529,632,686,168,747,844,899,"1,006","1,047","1,041","1,081","1,129","1,182","1,165","1,197","1,285","1,356","1,462","1,560","1,757","1,762","1,863","1,918","1,929","2,023","2,031","2,171","2,324","2,433","2,591","2,924","2,943","2,939","3,111","3,225","2,977","3,752","4,144","4,096","4,080","3,585","3,957","5,056","4,925","5,119","5,285","5,153","5,212"
550 Health,"Total, Health","1,198","1,451","1,788","1,791","2,543","3,351","4,390","5,162","5,907","6,843","8,674","9,356","10,733","12,930","15,734","3,924","17,302","18,524","20,494","23,169","26,866","27,445","28,641","30,417","33,541","35,933","39,964","44,483","48,380","57,699","71,168","89,486","99,401","107,107","115,399","119,365","123,832","131,425","141,048","154,504","172,233","196,497","219,541","240,122","250,548","252,739","266,382","280,599","334,335","369,068","372,504","346,742","358,315","409,449","481,232","517,726","543,512","582,712","620,399","641,260"
570 Medicare,571 Medicare,..........,..........,..........,..........,64,"2,748","4,649","5,695","6,213","6,622","7,479","8,052","9,639","12,875","15,834","4,264","19,345","22,768","26,495","32,090","39,149","46,567","52,588","57,540","65,822","70,164","75,120","78,878","84,964","98,102","104,489","119,024","130,552","144,747","159,855","174,225","190,016","192,822","190,447","197,113","217,384","230,855","249,433","269,360","298,638","329,868","375,407","390,758","430,093","451,636","485,653","471,793","497,826","511,688","536,427","589,720","590,611","592,307","652,226","696,833"
600 Income Security,601 General retirement and disability insurance (excluding social security),661,632,682,668,736,731,944,"1,035","1,032","1,613","1,812","2,596","2,750","4,689","3,248","1,166","3,558","3,365","4,373","5,083","5,439","5,571","5,581","5,441","5,617","5,330","5,565","5,294","5,650","5,148","4,945","5,483","4,347","5,720","5,106","5,234","4,721","4,632","1,878","5,189","5,761","5,741","7,047","6,573","6,976","4,592","7,829","8,899","8,218","6,564","6,697","7,760","6,969","8,776","7,620","6,198","6,680","5,081","5,507","6,109"
600 Income Security,602 Federal employee retirement and disability,"1,959","2,240","2,554","2,865","3,326","3,802","4,285","4,782","5,545","6,585","7,684","8,902","10,783","13,238","15,484","4,269","17,735","19,853","22,676","26,611","31,296","34,345","36,530","38,080","38,621","41,392","43,782","46,920","49,202","52,037","56,151","57,646","60,093","62,540","65,882","68,071","71,539","73,485","75,146","77,152","80,972","83,361","85,154","88,729","93,351","98,296","103,916","108,998","118,119","119,867","124,450","122,388","131,739","134,613","139,024","146,982","145,919","145,244","154,278","158,867"
600 Income Security,603 Unemployment compensation,"3,809","3,344","3,178","2,577","2,215","2,263","2,527","2,577","3,359","6,166","7,072","5,354","6,065","13,459","19,453","4,004","15,315","11,847","10,813","18,051","19,656","23,728","31,464","18,421","17,475","17,753","17,080","15,271","15,616","18,889","27,084","39,466","37,802","28,729","23,638","24,898","22,888","22,070","23,631","23,012","30,242","53,267","57,054","44,994","35,435","33,814","35,107","45,340","122,537","160,145","120,556","93,771","70,729","45,717","42,178","43,711","43,059","43,745","46,682","49,397"
600 Income Security,604 Housing assistance,165,179,150,231,238,271,312,383,499,764,"1,125","1,633","1,826","2,059","2,499",662,"2,968","3,682","4,372","5,640","7,757","8,741","10,001","11,273","25,266","12,386","12,658","13,909","14,717","15,907","17,198","18,944","21,582","23,941","27,590","26,837","27,881","28,828","27,799","28,949","30,250","33,251","35,525","36,790","37,899","38,295","39,715","40,556","50,913","58,651","55,440","47,948","46,687","47,615","49,532","51,564","51,989","51,349","51,331","50,736"
600 Income Security,605 Food and nutrition assistance,275,284,308,299,363,418,505,587,960,"2,179","3,218","3,641","4,433","6,643","7,959","1,824","8,527","8,926","10,787","14,016","16,205","15,581","17,959","18,103","18,590","18,652","18,987","20,132","21,353","24,131","28,649","32,787","35,312","36,892","37,594","37,933","36,061","33,585","33,147","32,483","34,053","38,150","42,526","46,012","50,833","53,928","54,458","60,673","79,080","95,110","103,199","106,871","109,706","102,936","107,416","108,280","109,729","110,563","110,956","109,382"
600 Income Security,609 Other income security,"2,338","2,633","2,785","2,828","2,799","2,776","3,243","3,712","4,260","5,640","6,740","6,153","7,856","10,088","12,156","3,060","12,957","13,837","13,361","17,163","19,951","20,192","21,506","22,085","23,464","25,173","26,065","28,903","31,050","32,725","38,605","45,406","51,002","59,468","63,996","66,773","71,945","75,150","80,877","86,939","88,496","98,950","107,326","109,961","121,353","123,552","124,950","166,847","154,357","181,873","187,010","162,606","170,681","173,987","176,726","189,615","197,561","196,642","205,505","209,517"
600 Income Security,"Total, Income Security","9,207","9,311","9,657","9,469","9,678","10,261","11,816","13,076","15,655","22,946","27,650","28,278","33,714","50,176","60,799","14,985","61,060","61,509","66,382","86,565","100,304","108,158","123,041","113,405","129,032","120,685","124,137","130,430","137,589","148,838","172,633","199,732","210,137","217,290","223,806","229,746","235,035","237,750","242,478","253,724","269,774","312,720","334,632","333,059","345,847","352,477","365,975","431,313","533,224","622,210","597,352","541,344","536,511","513,644","522,496","546,350","554,937","552,624","574,259","584,008"
650 Social Security,651 Social security,"14,365","15,788","16,620","17,460","20,694","21,725","23,854","27,298","30,270","35,872","40,157","49,090","55,867","64,658","73,899","19,763","85,061","93,861","104,073","118,547","139,584","155,964","170,724","178,223","188,623","198,756","207,352","219,341","232,542","248,623","269,014","287,584","304,585","319,565","335,846","349,671","365,251","379,215","390,037","409,423","432,958","455,980","474,680","495,548","523,305","548,549","586,153","617,027","682,963","706,737","730,811","773,290","813,551","850,533","896,294","944,338","997,040","1,056,699","1,120,347","1,187,701"
650 Social Security,(On-budget),..........,..........,..........,..........,..........,94,94,414,458,465,538,526,494,499,515,..........,717,741,757,675,670,844,"19,993","7,056","5,189","8,072","4,930","4,852","5,069","3,625","2,619","6,166","6,236","5,683","5,476","5,802","6,879","9,146","10,824","13,254","11,701","13,969","13,279","14,348","16,526","16,058","19,307","17,830","34,071","23,317","101,933","140,387","56,009","25,946","31,094","36,234","39,385","42,728","46,478","50,430"
650 Social Security,(Off-budget),"14,365","15,788","16,620","17,460","20,694","21,631","23,760","26,885","29,812","35,408","39,620","48,565","55,373","64,159","73,384","19,763","84,344","93,120","103,316","117,872","138,914","155,120","150,731","171,167","183,434","190,684","202,422","214,489","227,473","244,998","266,395","281,418","298,349","313,881","330,370","343,869","358,372","370,069","379,213","396,169","421,257","442,011","461,401","481,200","506,779","532,491","566,846","599,197","648,892","683,420","628,878","632,903","757,542","824,587","865,200","908,104","957,655","1,013,971","1,073,869","1,137,271"
700 Veterans Benefits and Services,701 Income security for veterans,"3,970","4,208","4,148","4,216","4,185","4,547","4,668","5,041","5,552","5,973","6,354","6,540","6,794","7,877","8,369","2,085","9,229","9,759","10,793","11,700","12,921","13,723","14,263","14,412","14,728","15,047","14,978","15,980","16,562","15,261","16,981","17,318","17,781","19,638","18,993","18,228","20,435","21,350","22,184","24,907","22,498","26,720","29,091","30,849","35,767","35,771","35,684","41,338","45,952","49,163","58,747","55,899","65,890","70,906","78,036","89,478","87,201","85,939","98,338","104,090"
700 Veterans Benefits and Services,"702 Veterans education, training, and rehabilitation",151,95,71,52,51,300,470,691,"1,002","1,644","1,942","2,781","3,233","4,561","5,498",777,"3,683","3,337","2,725","2,310","2,226","1,917","1,598","1,333","1,029",496,424,424,426,245,393,746,788,"1,075","1,082","1,073","1,113","1,058","1,222","1,285","1,193","1,726","2,106","2,562","2,790","2,638","2,713","2,730","3,495","8,089","10,683","10,402","12,893","13,506","14,415","16,047","16,156","16,388","17,793","18,698"
700 Veterans Benefits and Services,703 Hospital and medical care for veterans,"1,084","1,145","1,229","1,269","1,318","1,390","1,468","1,562","1,798","2,034","2,423","2,710","3,004","3,663","4,044","1,038","4,706","5,252","5,611","6,513","6,964","7,517","8,272","8,860","9,546","9,871","10,266","10,841","11,342","12,133","12,889","14,091","14,812","15,677","16,428","16,586","17,093","17,545","18,168","19,516","20,959","22,290","24,082","26,859","28,754","29,888","32,294","36,974","41,882","45,714","50,062","50,588","52,544","56,226","61,047","66,710","69,483","67,550","68,421","69,964"
700 Veterans Benefits and Services,704 Veterans housing,242,-104,49,5,173,308,215,107,62,-171,-310,-368,-4,39,-58,-47,-131,43,176,-4,217,120,17,257,230,128,344,"1,305",892,530,100,917,"1,314",212,344,80,-327,853,580,364,-904,"-1,006",505,"-1,982",860,"-1,242",-868,-419,-578,540,"1,262","1,413","1,328","2,143",571,335,329,394,462,518
700 Veterans Benefits and Services,705 Other veterans benefits and services,172,171,179,173,188,190,212,230,255,287,310,340,347,444,565,107,536,571,609,649,645,662,673,712,718,772,717,816,780,865,913,966,947,957,"1,015",989,969,935,"1,001",917,"1,228","1,199","1,200","1,458","1,949","2,756","2,995","4,030","4,678","4,878","6,435","6,293","6,283","6,835","7,355","7,754","8,123","8,038","8,141","8,222"
700 Veterans Benefits and Services,"Total, Veterans Benefits and Services","5,619","5,514","5,675","5,716","5,916","6,735","7,032","7,631","8,669","9,768","10,720","12,003","13,374","16,584","18,419","3,960","18,022","18,961","19,914","21,169","22,973","23,938","24,824","25,575","26,251","26,314","26,729","29,367","30,003","29,034","31,275","34,037","35,642","37,559","37,862","36,956","39,283","41,741","43,155","46,989","44,974","50,929","56,984","59,746","70,120","69,811","72,818","84,653","95,429","108,384","127,189","124,595","138,938","149,616","161,424","180,324","181,292","178,309","193,155","201,492"
750 Administration of Justice,751 Federal law enforcement activities,269,288,306,333,355,389,409,470,571,693,843,"1,020","1,129","1,426","1,604",436,"1,772","1,944","2,109","2,357","2,582","2,667","3,033","3,356","3,675","3,764","4,272","5,235","4,889","4,840","5,872","6,687","6,912","6,873","6,646","7,324","8,528","10,420","11,459","12,121","12,542","15,408","15,745","19,131","19,912","20,039","20,735","25,574","28,584","28,713","29,802","28,977","27,295","26,106","28,612","30,645","31,773","32,087","32,428","32,711"
750 Administration of Justice,752 Federal litigative and judicial activities,111,124,131,146,153,165,178,202,245,287,347,390,426,550,697,213,842,943,"1,130","1,347","1,491","1,517","1,627","1,825","2,064","2,176","2,482","2,880","3,255","3,577","4,352","5,054","5,336","5,469","6,115","6,067","6,317","6,682","7,427","7,762","8,298","9,139","9,889","10,444","10,658","11,157","12,110","13,014","13,372","14,494","15,076","16,211","14,764","14,224","17,732","15,722","16,225","16,430","16,553","18,408"
750 Administration of Justice,753 Federal correctional activities,49,53,53,57,55,58,63,65,79,94,115,140,179,200,208,57,240,307,337,342,361,364,418,494,537,614,711,930,"1,044","1,291","1,600","2,114","2,124","2,315","2,749","3,013","2,939","2,682","3,204","3,707","4,206","4,746","4,580","4,750","4,845","5,052","5,172","5,655","6,009","6,327","6,546","6,753","6,761","6,751","6,875","7,256","7,452","7,622","7,709","7,786"
750 Administration of Justice,754 Criminal justice assistance,..........,..........,..........,..........,1,6,8,29,65,233,380,624,770,853,921,213,847,729,710,656,473,294,167,136,150,181,250,352,455,477,663,795,822,859,998,"1,494","2,833","3,575","4,446","4,909","5,155","5,768","5,126","11,251","4,604","4,768","4,345","3,854","4,616","4,849","4,632","4,336","3,781","3,376","5,453","4,889","6,852","5,081","5,306","5,351"
750 Administration of Justice,"Total, Administration of Justice",429,465,489,536,564,618,659,766,959,"1,307","1,684","2,174","2,505","3,028","3,430",918,"3,701","3,923","4,286","4,702","4,908","4,842","5,246","5,811","6,426","6,735","7,715","9,397","9,644","10,185","12,486","14,650","15,193","15,516","16,508","17,898","20,617","23,359","26,536","28,499","30,201","35,061","35,340","45,576","40,019","41,016","42,362","48,097","52,581","54,383","56,056","56,277","52,601","50,457","58,672","58,512","62,302","61,220","61,996","64,256"
800 General Government,801 Legislative functions,178,176,174,189,208,218,237,254,303,342,404,438,521,593,678,183,849,909,921,"1,038","1,041","1,181","1,196","1,319","1,355","1,383","1,444","1,599","1,776","1,759","1,871","2,084","2,120","2,032","1,996","1,967","1,925","2,007","2,095","2,227","2,315","2,639","2,847","3,195","3,460","3,455","3,553","3,667","3,823","4,100","3,974","3,908","3,729","3,568","4,352","4,153","4,348","4,359","4,410","4,452"
800 General Government,802 Executive direction and management,12,13,15,17,17,19,21,25,30,38,59,71,117,63,68,16,76,73,81,97,100,96,96,97,113,109,111,123,129,160,190,188,196,232,217,204,223,272,446,456,457,639,706,503,569,522,490,525,535,528,446,628,478,484,514,533,525,535,540,544
800 General Government,803 Central fiscal operations,492,542,607,636,671,725,745,790,914,991,"1,155","1,182","1,299","1,888","1,504",360,"1,869","1,988","2,163","2,603","2,601","2,577","3,039","3,238","3,480","3,625","3,894","4,783","5,734","5,824","6,132","6,628","7,017","7,370","7,900","7,445","7,383","10,064","9,434","8,285","9,144","10,215","11,455","9,301","9,515","10,163","10,298","10,553","10,752","11,906","11,631","11,985","12,051","11,695","11,261","14,775","13,520","14,128","14,594","15,424"
800 General Government,804 General property and records management,403,439,532,624,575,646,497,543,551,573,680,818,968,395,46,46,136,261,255,283,97,194,152,150,39,416,90,-232,-432,-33,587,616,924,498,815,682,925,801,-67,-32,-73,-423,200,224,472,327,285,570,554,"1,194","2,304","2,247",-10,-386,-712,-198,426,-38,477,548
800 General Government,805 Central personnel management,22,22,23,23,25,19,37,38,44,51,57,66,74,88,107,25,100,129,127,154,159,136,115,139,164,126,143,113,139,184,141,214,190,210,134,103,137,116,156,184,184,47,203,217,101,151,-20,-12,102,338,124,67,372,268,240,261,270,282,244,247
800 General Government,806 General purpose fiscal assistance,212,232,241,238,268,305,339,430,535,535,672,"7,350","6,888","7,184","7,232","3,173","9,569","8,442","8,369","8,582","6,854","6,390","6,452","6,768","6,353","6,431","1,621","1,816","2,061","2,161","2,100","1,865","1,935","1,937","2,220","2,059","2,189","2,188","1,958","2,084","2,308","2,403","7,464","7,675","3,333","3,798","3,556","4,089","4,097","5,082","7,475","7,787","7,852","7,643","7,935","8,013","7,165","7,215","7,311","7,372"
800 General Government,808 Other general government,28,63,150,39,79,101,126,40,121,126,173,157,363,424,393,227,448,448,523,569,745,503,767,548,517,479,806,"1,891",803,767,"1,266","1,767","1,300",968,"1,594",989,"1,262",951,"2,225","2,192","1,777","2,243","2,034","2,291","2,388","1,120","1,609","1,393","3,166","1,587","3,001","3,425","5,957","3,512","1,453","1,736","1,492","1,494","1,564","1,736"
800 General Government,809 Deductions for offsetting receipts,-299,-257,-224,-266,-241,-314,-245,-181,-177,-214,-241,-309,-198,-261,-322,-150,-256,-289,-198,-351,-222,-216,-636,-513,-506,-78,-623,-694,-893,-361,-718,-480,-739,"-2,087","-1,077","-1,694","-1,497",-855,-884,"-2,383","-1,754",-812,"-1,745","-1,068","-2,841","-1,359","-2,346",-462,"-1,012","-1,721","-1,479","-2,006","-2,692",129,"-2,233","-2,290","-2,350","-2,370","-2,373","-2,424"
800 General Government,"Total, General Government","1,049","1,230","1,518","1,499","1,603","1,719","1,757","1,939","2,320","2,442","2,960","9,774","10,032","10,374","9,706","3,878","12,791","11,961","12,241","12,975","11,373","10,861","11,181","11,746","11,515","12,491","7,487","9,399","9,317","10,462","11,568","12,883","12,944","11,159","13,799","11,755","12,547","15,544","15,363","13,013","14,358","16,951","23,164","22,338","16,997","18,177","17,425","20,323","22,017","23,014","27,476","28,041","27,737","26,913","22,810","26,983","25,396","25,605","26,767","27,899"
900 Net Interest,901 Interest on Treasury debt securities (gross),"9,120","9,895","10,666","11,346","12,014","13,391","14,573","16,588","19,304","20,959","21,849","24,167","29,319","32,665","37,076","8,104","41,915","48,712","59,855","74,803","95,535","117,227","128,653","153,866","178,871","190,272","195,242","214,047","240,845","264,691","285,421","292,294","292,479","296,253","332,379","343,918","355,764","363,759","353,463","361,925","359,476","332,537","318,141","321,679","352,345","405,866","429,966","451,143","383,073","413,934","453,987","359,219","415,651","429,538","431,591","485,751","552,897","618,737","689,518","756,470"
900 Net Interest,902 Interest received by on-budget trust funds,-824,-895,"-1,006","-1,121","-1,259","-1,492","-1,689","-1,953","-2,367","-2,820","-2,983","-3,156","-4,064","-4,861","-4,988",-177,"-5,488","-6,128","-7,727","-9,707","-11,523","-13,995","-15,257","-17,044","-21,838","-26,628","-29,614","-34,406","-40,467","-46,321","-50,426","-54,193","-55,537","-56,494","-59,871","-60,869","-63,776","-67,208","-66,520","-69,290","-75,302","-76,494","-72,523","-67,761","-69,153","-71,574","-71,964","-77,821","-63,600","-67,268","-72,030","-14,753","-51,015","-57,848","-54,902","-55,176","-56,095","-57,549","-63,126","-67,542"
900 Net Interest,903 Interest received by off-budget trust funds,-609,-582,-607,-648,-642,-792,-979,"-1,149","-1,568","-1,942","-2,106","-2,280","-2,520","-2,803","-2,812",-93,"-2,650","-2,403","-2,224","-2,339","-2,288","-2,071","-1,845","-3,310","-4,118","-4,329","-5,290","-7,416","-11,395","-15,991","-20,222","-23,637","-26,788","-29,203","-33,305","-36,507","-41,214","-46,629","-52,070","-59,796","-68,811","-76,819","-83,544","-86,228","-91,836","-97,722","-106,003","-113,718","-117,954","-118,502","-115,981","-112,393","-105,650","-100,266","-96,009","-91,679","-89,418","-86,880","-86,922","-83,537"
900 Net Interest,908 Other interest,-797,-678,-855,-986,-727,-839,-816,-788,-989,"-1,356","-1,282","-1,382","-1,286","-1,756","-2,549",-885,"-3,875","-4,724","-7,271","-10,224","-12,958","-16,129","-21,743","-22,410","-23,438","-23,298","-21,727","-20,422","-20,003","-18,032","-20,325","-15,120","-11,442","-7,623","-7,069","-5,489","-6,790","-8,803","-5,117","-9,888","-9,194","-8,275","-6,541","-4,473","-3,945","-7,306","-10,131","-12,874","-14,966","-29,539","-35,872","-8,128","-35,053","-39,900","-50,538","-55,070","-45,282","-49,190","-55,081","-60,693"
900 Net Interest,(On-budget),-797,-678,-855,-986,-727,-839,-816,-788,-989,"-1,356","-1,282","-1,382","-1,286","-1,756","-2,549",-885,"-3,875","-4,724","-7,271","-10,224","-12,958","-16,129","-21,743","-22,410","-23,438","-23,298","-21,727","-20,422","-20,003","-18,032","-20,325","-15,120","-11,442","-7,623","-7,069","-5,489","-6,790","-8,802","-5,116","-9,888","-9,194","-8,274","-6,540","-4,473","-3,945","-7,306","-10,131","-12,874","-14,966","-29,539","-35,872","-8,128","-35,053","-39,900","-50,538","-55,070","-45,282","-49,190","-55,081","-60,693"
900 Net Interest,(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-1,-1,..........,..........,-1,-1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
900 Net Interest,909 Other investment income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-1,-1,-2,-2,..........,"-2,460","-2,972","-3,425","-2,661","-4,759","6,027",349,"-2,431",-142,"-3,537","-3,048","-2,568",-991,-777,-845,-885,-912,-928
900 Net Interest,"Total, Net Interest","6,889","7,740","8,199","8,591","9,386","10,268","11,090","12,699","14,380","14,841","15,478","17,349","21,449","23,244","26,727","6,949","29,901","35,458","42,633","52,533","68,766","85,032","89,808","111,102","129,478","136,017","138,611","151,803","168,981","184,347","194,448","199,344","198,713","202,932","232,134","241,053","243,984","241,118","229,755","222,949","206,167","170,949","153,073","160,245","183,986","226,603","237,109","252,757","186,902","196,194","229,962","220,408","220,885","228,956","229,151","283,049","361,257","424,233","483,477","543,770"
900 Net Interest,(On-budget),"7,498","8,322","8,805","9,239","10,028","11,060","12,069","13,848","15,948","16,783","17,584","19,629","23,969","26,047","29,539","7,042","32,551","37,860","44,857","54,872","71,054","87,102","91,653","114,411","133,595","140,346","143,901","159,219","180,376","200,338","214,670","222,981","225,501","232,135","265,439","277,560","285,198","287,748","281,826","282,745","274,978","247,769","236,618","246,473","275,822","324,325","343,112","366,475","304,856","314,696","345,943","332,801","326,535","329,222","325,160","374,728","450,675","511,113","570,399","627,307"
900 Net Interest,(Off-budget),-609,-582,-607,-648,-642,-792,-979,"-1,149","-1,568","-1,942","-2,106","-2,280","-2,520","-2,803","-2,812",-93,"-2,650","-2,403","-2,224","-2,339","-2,288","-2,071","-1,845","-3,310","-4,118","-4,329","-5,290","-7,416","-11,395","-15,991","-20,222","-23,637","-26,788","-29,203","-33,305","-36,507","-41,214","-46,630","-52,071","-59,796","-68,811","-76,820","-83,545","-86,228","-91,836","-97,722","-106,003","-113,718","-117,954","-118,502","-115,981","-112,393","-105,650","-100,266","-96,009","-91,679","-89,418","-86,880","-86,922","-83,537"
920 Allowances,923 Immigration Reform,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"8,000","11,000","18,000","24,000","28,000"
920 Allowances,924 Adjustment for Budget Control Act Caps (Non-Security),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-13,709","-20,546","-21,634","-24,766"
920 Allowances,925 Future Disaster Costs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,875","5,500","7,625","8,375","8,875","9,375"
